Right,Wrong
"Dynamics of Higgs"" Fields and a Quintessence in the Nonsymmetric Kaluza-Klein (Jordan-Thiry) Theory",Towards Stueckelberg-Douglass Conditions in Nonperturbative Matrix Models Near Hypersurface Defects
Decoupling of Supersymmetric Particles in the MSSM,On a Check of a Firewall at the Planck Scale
Complete Control of Gauge Parameter Dependence in the Abelian Higgs Model,Progress in Scattering Amplitudes in a Model for Instanton Liquids
Semi-Empirical Bound on the Chlorinr-37 Solar Neutrino Experiment,"Models of Dark Matter, a Resolution of the Hierarchy Problem, and a Measurement of Von-Neumann Entropy From the Strominger Instanton"
Cosmic Microwave Background From Late-Decaying Scalar Condensations,From Vanishing Gerbs to Topological TQFTs Surrounded by Black Instantons
Confronting Spectral Functions From E+e- Annihilation and Tau Decays: Consequences for the Muon Magnetic Moment,A Surface Defect and the Shadow Formalism
Breaking SU3f Spontaneously Down to Isospin,Diffractive Models for Dark Energy as Heterotic String Theory Deformed by Line Operators
Numerical Study of Plasmon Properties in the SU(2)-Higgs Model,Boundary-duality on the Conformal Boundary of dS_2
Hadrons in Medium -- Theory Meets Experiment,A D9 Brane
Exotic Branes and Nonperturbative Seven Branes,Bounding Constructing Gravity: Heterotic Strings Dimensionally Reduced on S^5
Gauge-Higgs Unification at the LHC,Cosmic Rays at the Edge of Our Universe and the Isocurvature Reduction of Models of Dions
Computation of Superpotentials for D-Branes,From Einstein Gravity to Gerbs in Type IIA Strings
Topological Transitions and Enhancon-like Geometries in Calabi-Yau Compactifications of M-Theory,"Comments on Type IIB Strings Far From a (P,q) 7- Brane Black Brane Formed From Collapse"
Cohomology of antiPoisson Superalgebra,Representation Theory in Kloosterman Sums on M Copies of R^n X R^n X CY_9
Saturation and Non-linear Effects in Diffractive Processes,Progress in Line Defects
Chiral Symmetry of Nucleon Resonances in QCD Sum Rules,Anomalous Dimensions in Chiral Models From the Next-to-leading Analytic Continuation of Models of Special Lagrangian Branes
Stability Analysis of the Dilatonic Black Hole in Two Dimensions,Progress in Dions
On Supersymmetric Solutions in D = 11 Supergravity With Ricci-flat Internal Spaces,QCD Models With Kaons
The Rare Decay $Eta Opipigammagamma$ in Chiral Perturbation Theory,Hadrons and Some Novel Frameworks of Nahm's Equations on S^8
Holographic Superconductivity in M-Theory,Remarks on a Certain Notion of Semidefinite Programming
Laurent Series Expansion of a Class of Massive Scalar One-loop Integrals to ${Cal O}(ep^2),"S-duality in Topological CFTs Deformed by 'T Hooft Lines, Surface Defects in Our Solar System, and Deriving a Model for Cosmic Rays"
Triple Higgs Boson Production at the ILC Within a Generic Two-Higgs-Doublet Model,Explaining Sudakov Logs: Examining String Theories Deformed by Non-chiral D-terms
Quantum Corrections to the Electroweak Sphaleron Transition,The Black-hole Information Problem
Coincidence Limit and Generalized Interaction Term Structure in Multigravity,Progress in Representations on AdS_m
Double Distributions for the Proton,A Certain Notion of Causality
The Minimal U(1)' Extension of the MSSM,A Special Lagrangian Brane Probe
"Gauge Invariance, Infrared/collinear Singularities and Tree Level Matrix Element for E+ E- to Nu_e Bar Nu_e Gamma Gamma",Towards a Firewall at the De-Sitter Horizon
Cosmological Brane World Solutions With Bulk Scalar Fields,A Solution of Central Charges in Models of Neutralinos and T-duality in Models of B-mesons
Non-topological Solitons as Nucleation Sites for Cosmological Phase Transitions,The Boundary-dual of Twisted Supergravity Deformed by Continuous-spin D-terms Reexamined
Linear Connections With Propagating Spin-3 Field in Gravity,Discrete Vortex Equations
Static Solutions With Nontrivial Boundaries for the Einstein-Gauss-Bonnet Theory in Vacuum,Bubbles at the Event Horizon
The Small-x Evolution of Unpolarized and Polarized Structure Functions,Gerbs in Type I Strings Are Simple
Selected Topics on Tau Physics,Towards Yangian Symmetric Donaldson-Witten Invariants
Analysis of $Ømega_c^*(css)$ and $Ømega_b^*(bss)$ With QCD Sum Rules,M-point Correlators
TeV-scale Gravity in Horava-Witten Theory on a Compact Complex Hyperbolic Threefold,Models of Kk Gravitons
"Baryons, IN_c",The S-dual of Type IIB Strings Deformed by Chern-Simons Terms and Some Little-known Frameworks of a Certain Notion of Causality
Higher Order Corrections to the Newtonian Potential in the Randall-Sundrum Model,Type IIB Strings Deformed by Unbounded Operators
General Flavor Blind MSSM and CP Violation,Electrons Are Supergravity Mediated
Solvable Matrix Models,"An Invertible QFT in the Presence of Canonical Co-isotropic Instantons, Firewalls at the GUT Scale, and Black Branes Formed From Collapse to All Orders"
Transport Theory for Cold Relativistic Superfluids From an Analogue Model of Gravity,Toda QFTs vs Anomaly Matching in Type IIA Near Firewalls
Invariants in Supersymmetric Classical Mechanics,Maxwell-Dyson Points in Topologically Twisted Matrix Models
On the All-order Epsilon-expansion of Generalized Hypergeometric Functions With Integer Values of Parameters,14 Years of Debate With Boltzmann
Baryons From Instantons in Holographic QCD,Trouble for Large Logarithms
Weyl Corrections to Holographic Conductivity,Black Instantons at N Loops and the Naturalness Problem
Simple Cosmological De Sitter Solutions on dS$_4 Imes Y_6$ Spaces,Magnons and a Solution of Duality in Topological String Theory Deformed by Chern-Simons Terms
A Variational Perturbation Approach to One-Point Functions in QFT,Holomorphic Branes to All Orders in Extending RS2
"Cho and Pak Reply to Lamm Et Al. Comment on ""A Convergent Series for the QED Effective Action""",Equivariant Donaldson-Witten Invariants Reconsidered
Model Independent Tests for Time Reversal and CP Violations and for CPT Theorem in Lambda_b and \barLambda_b Two Body Decays,Random Tensors in Twisted CFTs
Zweig Rule Violation in the Scalar Sector and Values of Low-energy Constants,Twisted Matrix Models and the Mutual Information of a M-manifold
A Solution to the Zero-hamiltonian Problem in 2-D Gravity,Nontrivial Donaldson Polynomials
Leading Neutrons From Polarized Pp Collisions,Comments on an Analytic Continuation of Unitarity in Type IIB Compactified on the Boundary of a CY_n Bundle Over the Near Horizon Geometry of a Riemann Surface
Holography and the Electroweak Phase Transition,S-duality in Models of Leptons and the Compactification of Perturbation Theory in a Twisted Matrix Model Supported on Moduli Spaces of Enriques Surfaces of Dih_n Holonomy
Axial Anomaly of QED in a Strong Magnetic Field and Noncommutative Anomaly,"The BPS Formulation of F-Theory Living on S^m, NS5 Branes Wrapping an AdS_n, and a S-dual of Momentum-dependent Models"
QCD Effective Charges From Lattice Data,Gravitational-duality in Models of Positrons and the Diffeomorphism Algebra in F-Theory Surrounded by a Black Hole
Higher Order Graviton Scattering in M(atrix) Theory,Condensates to All Orders Are Inflationary
"$(1,q=-1)$ Model as a Topological Description of $2d$ String Theory",Quantum Approaches to the Cosmological Constant Problem
The QCD Gluon Ladders and HERA Structure Function,A Compactification of Central Charges in Open-universe Inflation
Soft Gluons Away From Jets: Distribution and Correlation,The P^m X T^n/thermodynamics Correspondence
Ds0*(2317) and Ds1(2460) Mesons in Two-body B-meson Decays,Dimensionality on a Ricci-flat Atiyah-Hitchen Manifold Checked via Gerbs
On Power Law Inflation in DBI Models,Sleptons vs an Orientifold Plane
The Shape of Compact Toroidal Dimensions $T^d_{ Heta}$ and the Casimir Effect on $M^D Imes T^d_{ Heta}$ Spacetime,Comments on QED_3 Near a Firewall
The $Gamma Gamma O A^0 A^0$ Process at a $Gamma Gamma $ Collider,A Formulation of Kloosterman Sums in Models of B-mesons
Do Charged Leptons Oscillate?,Models of Monopoles
